C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2018-03-07T00:00:00.000Z,-0.201915398,0.2861189842224121,-0.027890931,0.014677003745197896,1244672,1089932,-0.027971666,-0.046393033,-0.009788374,99.22709060359287
2018-03-08T00:00:00.000Z,-1,1,0.033482504,0.12811509023620973,1244672,1148240,0.003662445,-0.050497815,0.13106906414031982,69.01650904264174
2018-03-09T00:00:00.000Z,-0.390697688,0.8376108407974243,-0.011699413,0.032612639,1244672,1089492,-0.012435825,-0.045545779,0.015701137483119965,88.42441036215939
2018-03-10T00:00:00.000Z,-1,1,0.10904721824126878,0.17064369906795923,1244672,1075371,0.040575538,-0.033273488,0.3535890579223633,50.42321073118258
2018-03-11T00:00:00.000Z,-1,1,-0.002338954,0.043880404,1244672,1154638,-0.010169491,-0.029092319,0.026371434330940247,84.12155407957084
2018-03-12T00:00:00.000Z,-1,1,-0.006375672,0.049415332664229365,1244672,1069660,-0.008748262,-0.054505005,0.027499417,89.61271227115802
2018-03-13T00:00:00.000Z,-1,1,0.070630835,0.1325178878337227,1244672,1005813,0.027189038693904877,-0.036640394,0.24357034265995026,56.67820764551358
2018-03-14T00:00:00.000Z,-0.182692304,0.026870006695389748,-0.01613592,0.008491973,1244672,1240871,-0.015438734,-0.02478903,-0.007473611,98.68455669560652
2018-03-15T00:00:00.000Z,-1,1,-0.007357983,0.060262366,1244672,1061967,-0.015638327,-0.048090428,0.018074764,96.27049068169991
2018-03-16T00:00:00.000Z,-1,1,0.006848228,0.064386107,1244672,1177368,-0.006459585,-0.031309582,0.049229331,82.89403304409903
2018-03-17T00:00:00.000Z,-1,1,-0.006313494,0.046456745,1244672,1096213,-0.006522306,-0.04953729,0.021292271092534065,98.65080594642444
2018-03-18T00:00:00.000Z,-0.148967013,0.5536315441131592,0.003282566,0.030699684,1244672,1150543,-0.004773812,-0.016949153,0.031827711,98.01230226603856
2018-03-19T00:00:00.000Z,-1,1,0.033286267,0.10874814569510297,1244672,1020529,0.007373945,-0.024405276,0.098425739,39.66574909767384
2018-03-20T00:00:00.000Z,-0.043896005,1,0.015147782481580968,0.020735742756205027,1244672,1233463,0.014234875328838825,-0.001026518,0.026944274082779884,56.606298510125505
2018-03-21T00:00:00.000Z,-1,1,0.008331465,0.15587580737494378,1244672,1091835,0.011025588028132915,-0.051772706,0.091114536,44.03056851416886
2018-03-22T00:00:00.000Z,-1,1,0.06716307,0.1620049603894395,1244672,1068948,0.003603736,-0.017131835,0.24139361083507538,28.82360975165566
2018-03-23T00:00:00.000Z,-0.602165103,1,0.055401988,0.12301514428554892,1244672,1112188,0.015350877307355404,-0.013917837,0.173594132,73.32960961
2018-03-24T00:00:00.000Z,-1,1,0.024678622166961442,0.1116882761734095,1244672,1018962,-0.002043061,-0.024716016,0.080778748,28.804217801603638
2018-03-25T00:00:00.000Z,-1,1,0.084503472,0.15386073902778083,1244672,993348,0.028487118,-0.021226723,0.27573904395103455,24.91246359281226
